dt_iso,humidity,temp,rain,dummy,rain_yesterday,rain_2d_ago,rain_3d_ago,rain_4d_ago,rain_5d_ago,rain_6d_ago,rain_7d_ago,temp_yesterday,humidity_yesterday
1979-05-16 00:00:00+00:00,83.25,27.35333333,2.03,1,6.88,0.68,0.21,1.27,3.67,0.63,0.11,29.33333333,79.875
1979-05-17 00:00:00+00:00,86.5,27.17916667,16.43,1,2.03,6.88,0.68,0.21,1.27,3.67,0.63,27.35333333,83.25
1979-05-18 00:00:00+00:00,82.625,26.65208333,9.73,1,16.43,2.03,6.88,0.68,0.21,1.27,3.67,27.17916667,86.5
1979-05-19 00:00:00+00:00,89.83333333,25.48208333,88.55,1,9.73,16.43,2.03,6.88,0.68,0.21,1.27,26.65208333,82.625
1979-05-20 00:00:00+00:00,88.33333333,25.84791667,6.14,1,88.55,9.73,16.43,2.03,6.88,0.68,0.21,25.48208333,89.83333333
1979-05-21 00:00:00+00:00,89.45833333,26.60291667,3.15,1,6.14,88.55,9.73,16.43,2.03,6.88,0.68,25.84791667,88.33333333
1979-05-22 00:00:00+00:00,85.20833333,27.64291667,0,0,3.15,6.14,88.55,9.73,16.43,2.03,6.88,26.60291667,89.45833333
1979-05-23 00:00:00+00:00,85,28.13125,1.06,1,0,3.15,6.14,88.55,9.73,16.43,2.03,27.64291667,85.20833333
1979-05-24 00:00:00+00:00,87.83333333,27.46625,5.09,1,1.06,0,3.15,6.14,88.55,9.73,16.43,28.13125,85
1979-05-25 00:00:00+00:00,87.66666667,28.25708333,1.6,1,5.09,1.06,0,3.15,6.14,88.55,9.73,27.46625,87.83333333
1979-05-26 00:00:00+00:00,86.08333333,28.83875,1.28,1,1.6,5.09,1.06,0,3.15,6.14,88.55,28.25708333,87.66666667
1979-05-27 00:00:00+00:00,81.04166667,29.45375,0.24,1,1.28,1.6,5.09,1.06,0,3.15,6.14,28.83875,86.08333333
1979-05-28 00:00:00+00:00,80.75,29.28916667,0.29,1,0.24,1.28,1.6,5.09,1.06,0,3.15,29.45375,81.04166667
1979-05-29 00:00:00+00:00,80.79166667,29.13125,4.9,1,0.29,0.24,1.28,1.6,5.09,1.06,0,29.28916667,80.75
1979-05-30 00:00:00+00:00,85,28.30583333,16.23,1,4.9,0.29,0.24,1.28,1.6,5.09,1.06,29.13125,80.79166667
1979-05-31 00:00:00+00:00,84.16666667,28.64125,6.32,1,16.23,4.9,0.29,0.24,1.28,1.6,5.09,28.30583333,85
1979-06-01 00:00:00+00:00,84.95833333,28.21458333,8.06,1,6.32,16.23,4.9,0.29,0.24,1.28,1.6,28.64125,84.16666667
1979-06-02 00:00:00+00:00,85.125,28.30541667,5.18,1,8.06,6.32,16.23,4.9,0.29,0.24,1.28,28.21458333,84.95833333
1979-06-03 00:00:00+00:00,85.58333333,28.0775,5.97,1,5.18,8.06,6.32,16.23,4.9,0.29,0.24,28.30541667,85.125
1979-06-04 00:00:00+00:00,85.25,28.27958333,6.06,1,5.97,5.18,8.06,6.32,16.23,4.9,0.29,28.0775,85.58333333
1979-06-05 00:00:00+00:00,86.375,28.41583333,2.74,1,6.06,5.97,5.18,8.06,6.32,16.23,4.9,28.27958333,85.25
1979-06-06 00:00:00+00:00,84.875,28.32,5.28,1,2.74,6.06,5.97,5.18,8.06,6.32,16.23,28.41583333,86.375
1979-06-07 00:00:00+00:00,84.125,28.03708333,2.86,1,5.28,2.74,6.06,5.97,5.18,8.06,6.32,28.32,84.875
1979-06-08 00:00:00+00:00,86.75,28.14333333,1.07,1,2.86,5.28,2.74,6.06,5.97,5.18,8.06,28.03708333,84.125
1979-06-09 00:00:00+00:00,85.79166667,28.71916667,2.14,1,1.07,2.86,5.28,2.74,6.06,5.97,5.18,28.14333333,86.75
1979-06-10 00:00:00+00:00,85.79166667,29.07208333,0.64,1,2.14,1.07,2.86,5.28,2.74,6.06,5.97,28.71916667,85.79166667
1979-06-11 00:00:00+00:00,85.04166667,27.585,10.25,1,0.64,2.14,1.07,2.86,5.28,2.74,6.06,29.07208333,85.79166667
1979-06-12 00:00:00+00:00,82.41666667,27.37333333,6.15,1,10.25,0.64,2.14,1.07,2.86,5.28,2.74,27.585,85.04166667
1979-06-13 00:00:00+00:00,83.91666667,27.05875,5.27,1,6.15,10.25,0.64,2.14,1.07,2.86,5.28,27.37333333,82.41666667
1979-06-14 00:00:00+00:00,84.875,27.69833333,6.18,1,5.27,6.15,10.25,0.64,2.14,1.07,2.86,27.05875,83.91666667
1979-06-15 00:00:00+00:00,86.83333333,27.80333333,0.95,1,6.18,5.27,6.15,10.25,0.64,2.14,1.07,27.69833333,84.875
1979-06-16 00:00:00+00:00,86.66666667,28.09708333,0.47,1,0.95,6.18,5.27,6.15,10.25,0.64,2.14,27.80333333,86.83333333
1979-06-17 00:00:00+00:00,87.66666667,28.12958333,3.08,1,0.47,0.95,6.18,5.27,6.15,10.25,0.64,28.09708333,86.66666667
1979-06-18 00:00:00+00:00,85.54166667,28.24,0.61,1,3.08,0.47,0.95,6.18,5.27,6.15,10.25,28.12958333,87.66666667
1979-06-19 00:00:00+00:00,87.33333333,27.64791667,2.24,1,0.61,3.08,0.47,0.95,6.18,5.27,6.15,28.24,85.54166667
1979-06-20 00:00:00+00:00,87.95833333,27.07083333,12.84,1,2.24,0.61,3.08,0.47,0.95,6.18,5.27,27.64791667,87.33333333
1979-06-21 00:00:00+00:00,88.375,26.92416667,19.03,1,12.84,2.24,0.61,3.08,0.47,0.95,6.18,27.07083333,87.95833333
1979-06-22 00:00:00+00:00,88.08333333,26.96708333,23.77,1,19.03,12.84,2.24,0.61,3.08,0.47,0.95,26.92416667,88.375
1979-06-23 00:00:00+00:00,89.375,26.94916667,35.03,1,23.77,19.03,12.84,2.24,0.61,3.08,0.47,26.96708333,88.08333333
1979-06-24 00:00:00+00:00,86.95833333,27.59625,10.97,1,35.03,23.77,19.03,12.84,2.24,0.61,3.08,26.94916667,89.375
